name,id
Στέφανου Στεφάνου,stefanou-stefanos
Σταύρο Ευαγόρου,evagorou-stavros
Σταύρου Ευαγόρου,evagorou-stavros
Σωτήρη Σαμψών,sampson-sotiris
Σωτηρούλα Χαραλάμπους,charalampous-sotiroula
Σωτηρούλας Χαραλάμπους,charalampous-sotiroula
Τάκη Χατζηγεωργίου,chatzigeorgiou-takis
Τάκη Χατζηδημητρίου,chatzidimitriou-takis
Τάσου Μητσόπουλου,mitsopoulos-tasos
Φειδία Σαρίκα,sarikas-feidias
Χάρη Γεωργιάδη,georgiadis-charis
Χαράλαμπου Θεοπέμπτου,theopemptou-charalampos
Χαράλαμπου Πιττοκοπίτη,pittokopitis-charalampos
Χρήστο Πουργουρίδη,pourgouridis-christos
Χρήστου Πουργουρίδη,pourgouridis-christos
Χρήστου Στυλιανίδη,stylianidis-christos
Χρίστο Κληρίδη,kliridis-christos
Χρίστο Ρότσα,rotsas-christos
Χρίστου Κληρίδη,kliridis-christos
Χρίστου Μέση,mesis-christos
Χρίστου Ορφανίδη,orfanidis-christos
Χρίστου Χρίστου,christou-christos
Χριστάκη Τζιοβάνη,tziovanis-christakis
Χριστιάνας Ερωτοκρίτου,erotokritou-christiana
Χριστόδουλο Βενιαμίν,veniamin-christodoulos
Χριστόδουλο Ταραμουντά,taramountas-christodoulos
